,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
e1,0,0,0,0,0,0,0,0,0,0
e2,0,0,0,0,0,0,0,0,0,0
e3,0,0,0,0,0,0,0,0,0,0
e4,0,0,0,0,0,0,0,0,0,0
e5,0,0,0,0,0,0,0,0,0,0
e6,0,0,0,0,0,0,0,0,0,0
e7,0,0,0,0,0,0,0,0,0,0
e8,0,0,0,0,0,0,0,0,0,0
e9,0,0,0,0,0,0,0,0,0,0
e10,0,0,0,0,0,0,0,0,0,0
e11,0,0,0,0,0,0,0,0,0,0
e12,0,0,0,0,0,0,0,0,0,0
e13,0,0,0,0,0,0,0,0,0,0
e14,0,0,0,0,0,0,0,0,0,0
e15,0,0,0,0,0,0,0,0,0,0
