,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
c0,0,0,0,0,0,0,0,0,0,0
c1,0,0,0,0,0,0,0,0,0,0
c2,0,0,0,0,0,0,0,0,0,0
c3,0,0,0,0,0,0,0,0,0,0
c4,0,0,0,0,0,0,0,0,0,0
c5,0,0,0,0,0,0,0,0,0,0
